Rodada,HC,LRS,GRS
1,0.734209,0.132394,3.164036
2,1.130538,0.167783,1.976344
3,0.401580,0.143925,3.026487
4,0.724492,0.579210,0.199030
5,0.209205,0.403190,1.455246
6,0.783751,3.590557,1.501108
7,0.497439,0.149429,1.622104
8,0.258961,0.938105,1.358800
9,0.537540,0.138733,2.130261
10,1.403448,0.051713,1.135413
11,0.311083,0.174129,1.437052
12,0.792331,0.315824,2.636288
13,0.610387,0.275177,2.607531
14,0.858507,0.070371,1.164559
15,0.513055,0.304885,2.093150
16,0.644576,0.332947,0.329683
17,0.299789,0.267811,1.128680
18,0.165094,0.335948,1.597068
19,0.153676,0.091309,1.134705
20,0.974618,0.164112,1.462625
21,0.591952,0.056885,1.910082
22,0.349642,0.183214,2.356699
23,1.221486,0.134913,0.224392
24,0.211919,0.233842,1.817109
25,0.606510,0.021905,2.638644
26,0.903347,0.198229,1.799561
27,1.028852,0.528179,2.386304
28,0.381923,0.048043,2.738745
29,0.675129,12.861764,2.339357
30,1.130124,0.162990,0.826002
31,0.034464,0.047641,0.287095
32,0.143685,0.202057,0.983597
33,1.194146,0.023027,1.486870
34,1.363743,0.178926,1.888027
35,0.490781,0.213258,1.228842
36,0.468784,0.231116,2.092947
37,1.469208,0.060217,2.087061
38,1.313950,0.111689,2.678309
39,0.272586,0.234475,2.718009
40,1.320525,0.209010,1.467000
41,0.120855,0.295060,1.668830
42,0.287939,0.025049,0.681949
43,2.232565,0.546901,1.212809
44,0.355719,0.015871,3.268435
45,0.202842,0.065301,1.090679
46,0.174376,0.205566,2.022011
47,0.454166,0.037614,0.982436
48,0.115341,0.070089,1.039533
49,1.280238,0.299127,1.920679
50,1.291782,0.295248,0.130813
51,0.564285,0.457048,2.727143
52,0.162620,0.367160,1.604964
53,0.544880,0.132717,2.577062
54,1.199073,0.136475,0.622931
55,2.112383,0.336476,2.809126
56,0.310658,0.539971,1.208796
57,0.332946,0.206837,2.038483
58,0.903911,0.198927,2.353357
59,0.015294,0.499274,2.615221
60,0.353592,0.410359,0.982232
61,1.144102,0.242548,1.869753
62,0.581889,13.978948,2.799784
63,2.208180,0.092507,1.812814
64,0.166738,0.241326,0.970149
65,2.334641,0.257484,2.038471
66,0.282544,0.079188,2.870365
67,0.016569,0.189297,0.599897
68,0.952012,0.134248,2.561803
69,0.905764,0.327897,2.863945
70,0.903111,0.383349,0.412529
71,0.785739,0.195848,0.712586
72,1.465390,0.211972,1.718273
73,0.260754,0.501463,1.106167
74,0.436589,0.389586,1.113432
75,0.961965,0.109247,0.924340
76,0.366848,0.058024,1.560430
77,0.537069,0.038668,2.621572
78,1.448000,0.438046,3.177538
79,0.091667,0.411355,1.868962
80,1.161868,0.559827,0.761301
81,0.534466,0.065419,0.199234
82,0.996800,0.920089,2.776399
83,0.959994,0.139574,0.985969
84,0.233183,0.215705,1.101764
85,15.962070,0.055685,1.637909
86,0.060906,0.249228,1.791414
87,0.115015,0.174756,1.712116
88,0.195143,0.560605,2.891817
89,0.225805,0.191991,0.378997
90,0.476588,0.207252,1.140995
91,0.724488,0.096374,2.022750
92,0.331111,0.336874,1.967301
93,0.114444,0.144639,1.418885
94,0.598700,0.120675,1.028122
95,0.104920,0.269604,1.293750
96,1.009699,0.161351,0.275973
97,0.577977,0.017669,2.316967
98,0.166349,0.385865,2.679297
99,0.142128,0.124835,1.763513
100,0.171212,0.754418,1.130790
