N,sigma_mut,max_gen,media,desvio,minimo,maximo,mediana,taxa_convergencia,tempo_segundos
2,0.5,50000,423.733,45.053,320.597,507.883,419.760,0.000,88.3
2,1.0,50000,453.009,48.796,347.319,566.137,449.667,0.000,87.0
2,2.0,50000,521.624,41.890,440.364,623.000,523.959,0.000,87.0
5,0.5,20000,194.958,27.802,146.868,259.672,192.222,0.000,90.6
5,1.0,20000,235.627,27.019,173.251,285.507,234.453,0.000,90.8
5,2.0,20000,294.916,39.383,229.699,407.491,291.981,0.000,90.9
10,0.5,10000,177.878,23.772,140.387,234.156,174.276,0.000,72.4
10,1.0,10000,259.265,41.101,184.797,346.163,258.229,0.000,72.5
10,2.0,10000,335.121,41.815,266.099,414.001,333.156,0.000,72.6
20,0.5,5000,248.182,42.650,175.837,350.906,252.011,0.000,69.7
20,1.0,5000,322.824,42.143,253.813,407.892,314.943,0.000,69.9
20,2.0,5000,392.028,56.092,289.648,501.350,403.254,0.000,69.8
